10.нояб..2023 12:12:56.834 [Croupier] INFO  r.m.h.c.StartAuctionBehaviour - Auction was Started!
10.нояб..2023 12:12:56.846 [SellerOne] INFO  r.m.h.s.SendAnswerBehaviour - SellerOne: my Bet = 117
10.нояб..2023 12:12:56.848 [SellerTwo] INFO  r.m.h.s.SendAnswerBehaviour - SellerTwo: my Bet = -469
10.нояб..2023 12:12:56.859 [Croupier] INFO  r.m.h.c.WaitForProposesBehaviour - Croupier: Received all proposes, winner is SellerOne
10.нояб..2023 12:12:56.868 [Croupier] INFO  r.m.h.c.SendContractBehaviour - Croupier: SellerOne you win!
10.нояб..2023 12:12:56.870 [SellerTwo] INFO  r.m.h.FailBehaviour - SellerTwo: I was failed auction
10.нояб..2023 12:12:56.873 [SellerOne] WARN  r.m.h.s.SendContractYouWin - SellerOne: I agree!
10.нояб..2023 12:12:56.876 [Croupier] INFO  r.m.h.SuccessBehaviour - Croupier: Auction was successful
10.нояб..2023 12:14:32.371 [SellerTwo] INFO  r.m.h.FunctionAgent - SellerTwo: I was born
10.нояб..2023 12:14:32.371 [Croupier] INFO  r.m.h.FunctionAgent - Croupier: I was born
10.нояб..2023 12:14:32.371 [SellerOne] INFO  r.m.h.FunctionAgent - SellerOne: I was born
10.нояб..2023 12:14:32.395 [Croupier] INFO  r.m.h.c.StartAuctionBehaviour - Auction was Started!
10.нояб..2023 12:14:42.398 [Croupier] WARN  r.m.h.c.WaitForProposesBehaviour - Croupier: Absent need bet more 0
10.нояб..2023 12:14:42.399 [Croupier] INFO  r.m.h.FailBehaviour - Croupier: Auction was failed
10.нояб..2023 12:19:11.018 [SellerTwo] INFO  r.m.h.FunctionAgent - SellerTwo: I was born
10.нояб..2023 12:19:11.018 [Croupier] INFO  r.m.h.FunctionAgent - Croupier: I was born
10.нояб..2023 12:19:11.018 [SellerOne] INFO  r.m.h.FunctionAgent - SellerOne: I was born
10.нояб..2023 12:19:11.049 [Croupier] INFO  r.m.h.c.StartAuctionBehaviour - Auction was Started!
10.нояб..2023 12:19:11.050 [SellerTwo] INFO  r.m.h.s.WaitForInvite - SellerTwo: I dont wont proposes!
10.нояб..2023 12:19:21.051 [Croupier] WARN  r.m.h.c.WaitForProposesBehaviour - Croupier: Absent need bet more 0
10.нояб..2023 12:19:21.052 [Croupier] INFO  r.m.h.FailBehaviour - Croupier: Auction was failed
10.нояб..2023 12:23:20.872 [SellerTwo] INFO  r.m.h.FunctionAgent - SellerTwo: I was born
10.нояб..2023 12:23:20.872 [Croupier] INFO  r.m.h.FunctionAgent - Croupier: I was born
10.нояб..2023 12:23:20.872 [SellerOne] INFO  r.m.h.FunctionAgent - SellerOne: I was born
10.нояб..2023 12:23:20.904 [Croupier] INFO  r.m.h.c.StartAuctionBehaviour - Auction was Started!
10.нояб..2023 12:23:30.907 [Croupier] WARN  r.m.h.c.WaitForProposesBehaviour - Croupier: Absent need bet more 0
